Image,Class,Width,Height,Mean Intensity,Standard Deviation,Edge Pixels,Edge Percentage,Fixed Segmented Pixels,Fixed Segmented Area Percentage,Otsu Segmented Pixels,Otsu Segmented Area Percentage,Adaptive Segmented Pixels,Adaptive Segmented Area Percentage,Otsu Threshold,Largest Otsu Contour Area,Largest Otsu Contour Percentage,Bounding Box Width,Bounding Box Height
Tr-gl_1135.jpg,Glioma,512,512,32.4,43.86,9234,3.52,16623,6.34,91530,34.92,219047,83.56,44.0,105441.5,40.22,343,386
Tr-gl_893.jpg,Glioma,512,512,40.24,34.4,11760,4.49,10277,3.92,137421,52.42,186198,71.03,38.0,156748.5,59.79,440,479
Tr-pi_766.jpg,Pituitary,512,512,35.53,40.74,8748,3.34,20356,7.77,109232,41.67,209621,79.96,41.0,127178.0,48.51,409,422
Tr-no_848.jpg,No Tumor,201,251,72.67,54.57,5042,9.99,13396,26.55,23737,47.05,29597,58.66,73.0,18746.5,37.16,163,198
Tr-no_690.jpg,No Tumor,359,449,75.63,65.5,14099,8.75,50966,31.62,91277,56.63,82550,51.21,67.0,82082.5,50.92,287,371
Tr-me_1076.jpg,Meningioma,512,512,28.05,35.63,7084,2.7,13123,5.01,98690,37.65,218058,83.18,35.0,122398.0,46.69,364,421
Tr-me_1062.jpg,Meningioma,512,512,40.96,46.81,12600,4.81,24364,9.29,101817,38.84,197639,75.39,49.0,116364.0,44.39,314,453
Tr-no_684.jpg,No Tumor,235,228,32.2,38.62,3187,5.95,680,1.27,19168,35.77,32653,60.94,40.0,17389.0,32.45,133,173
Tr-gl_139.jpg,Glioma,512,512,25.31,38.2,7912,3.02,11538,4.4,87329,33.31,217170,82.84,36.0,100811.5,38.46,337,399
Tr-pi_1169.jpg,Pituitary,512,512,50.84,39.44,13738,5.24,19828,7.56,135220,51.58,177513,67.72,49.0,157927.0,60.24,403,508
Tr-gl_887.jpg,Glioma,512,512,32.7,34.2,8846,3.37,5671,2.16,126853,48.39,209115,79.77,33.0,137630.5,52.5,353,484
Tr-pi_772.jpg,Pituitary,512,512,37.51,41.66,12581,4.8,21070,8.04,108259,41.3,198394,75.68,43.0,135643.0,51.74,415,435
Tr-gl_1121.jpg,Glioma,512,512,29.21,41.34,4961,1.89,18396,7.02,84000,32.04,224987,85.83,42.0,102746.5,39.19,351,395
Tr-pi_982.jpg,Pituitary,512,512,46.52,44.15,14079,5.37,22363,8.53,107143,40.87,179226,68.37,52.0,92349.0,35.23,356,437
Tr-no_874.jpg,No Tumor,232,217,32.49,62.31,5766,11.45,2055,4.08,14509,28.82,29690,58.97,48.0,13857.0,27.52,134,136
Tr-pi_1141.jpg,Pituitary,512,512,31.15,37.79,8643,3.3,9807,3.74,105154,40.11,218546,83.37,37.0,125026.0,47.69,351,439
Tr-no_860.jpg,No Tumor,230,282,96.65,85.7,5767,8.89,31321,48.29,31469,48.52,42991,66.28,98.0,33695.5,51.95,188,226
Tr-me_449.jpg,Meningioma,512,512,52.23,42.69,10234,3.9,25982,9.91,142487,54.35,201454,76.85,48.0,156192.5,59.58,421,484
Tr-me_461.jpg,Meningioma,512,512,53.14,45.91,10319,3.94,31915,12.17,134490,51.3,200258,76.39,51.0,146324.5,55.82,411,480
Tr-me_1089.jpg,Meningioma,512,512,30.49,46.2,3240,1.24,29388,11.21,66338,25.31,228610,87.21,54.0,70316.0,26.82,301,316
